id,street,city,zip,state,price
1756,"8953 Angeline Rapids","Lynchland","FL","82717-7506",157604
1757,"79773 Conn Stream","Jacyntheton","MA","32344",172690
1758,"2892 Dee Meadow","Lindborough","ND","20312-5281",103850
1759,"977 Jaqueline Throughway","Swaniawskimouth","FL","24933-9082",171633
1760,"2288 Teresa Plaza","Port Caleb","MO","36397-2928",154626
1761,"2289 Lora Green","Metzberg","MS","42400-4722",137836
1762,"54208 Mireille Square","Irvingchester","TX","97749-0602",131273
1763,"3287 Stark Camp","West Crystal","IN","44967",27806
1764,"89753 Reichel Squares","South Harrisonstad","KS","08947-4668",46298
1765,"195 Schinner Cove","Port Litzy","PA","95802-7792",105690
1766,"99651 Chet Trail","Elliottbury","WY","07756-8235",53021
1767,"29519 Ken Shoals","West Mack","IA","12499",148485
1768,"519 Gislason Mill","Ashtynfurt","AR","15797",72847
1769,"6605 Gina Forge","Port Xzavier","VT","05398",30016
1770,"21858 Else Groves","West Alexanneport","ID","55234-8226",32974
1771,"792 Doyle Ways","Port Rebekah","IA","37829",33632
1772,"6845 Quitzon Isle","Nikolausfurt","WA","73461-1418",129260
1773,"2596 Kunde Village","North Felipa","RI","42565-5119",82932
1774,"556 Delia Green","Talonshire","AL","19509",130207
1775,"039 Ruben Plains","Reichelstad","KY","00358",38861
1776,"357 Hickle Harbor","South Velda","PA","65131",75034
1777,"12556 Dooley Dam","Sarinaside","NC","74219",54354
1778,"367 Bruen Inlet","Emmerichfort","WI","08681-7776",132218
1779,"16261 Herzog Mission","East Maximebury","IN","00366-8477",136120
1780,"898 Elda Courts","West Nasir","KS","89383-0838",23436
1781,"3969 Yost Mission","Weissnatfort","DE","49076",45612
1782,"6717 Arden Mills","New Raymondbury","SD","11674-9749",25715
1783,"511 Grady Hills","New Cristal","OR","51326-6189",75988
1784,"80978 Okuneva Springs","Reichelmouth","OH","99642-2272",48066
1785,"93829 Davin Course","New Leannaview","GA","00279-6585",134134
1786,"4784 Angela Parkway","North Jaspermouth","GA","63565",100979
1787,"8548 Osinski Freeway","Dimitrimouth","OH","88447-6994",119313
1788,"1492 Anita Mews","Barryville","FL","62599",145595
1789,"45675 Beer Island","Adrienmouth","ND","48293-6379",85832
1790,"53295 Kozey Green","Lake George","NV","21126",73841
1791,"11608 Yasmeen Shoals","Gwenville","MO","26508",62084
1792,"38236 Kuhic Turnpike","North Skyefort","WI","14903-8196",21255
1793,"749 Joanie Falls","Bennieton","WV","67458",103337
1794,"67481 Bradtke Lakes","Borerstad","MI","35470",113699
1795,"6791 Bailey Rapids","Olaside","NC","72737-1251",138264
1796,"09315 Lorenza Cape","East Mikayla","DE","94612",170705
1797,"175 Gerardo Loop","Morarberg","NH","94886-5321",77317
1798,"372 Gutmann Landing","Richardtown","AR","08141-1128",45580
1799,"5174 Barry Fall","New Kaci","OK","70209-2147",100763
1800,"970 Von Gardens","New Johnpaul","AL","10858",165655
1801,"702 Gerhold Mills","Dameonborough","AZ","61238-0244",127893
1802,"3165 Westley Parks","North Kavonmouth","CO","84882-2952",169291
1803,"9393 Heaven Walk","Lake Susiefort","IA","78032-4287",97554
1804,"57046 Marcella Islands","D'angelochester","NM","87452",170060
1805,"86706 Tyson Field","Bradburgh","VT","04218-9293",105025
1806,"0588 Deckow Forges","Alexanneside","OK","92980-9025",112346
1807,"92173 McCullough Shoal","South Darienborough","RI","44027",33203
1808,"37817 Schuppe Summit","West Lisettetown","AL","83545-2038",167874
1809,"455 Labadie Fields","Mertieton","GA","96169-8999",62033
1810,"975 Clinton Landing","West Adelbert","MO","03204",86578
1811,"33287 Wilkinson Loop","New Derrick","WV","14947",44304
1812,"8443 Shields Parkways","West Avisside","ID","75787-8927",21352
1813,"6607 Hudson Port","Jastville","VA","70282-7306",88563
1814,"7770 Lueilwitz Meadows","Port Colemanberg","VA","86372-4181",28137
1815,"64463 Dulce Ridges","Balistreriborough","ID","59172",123395
1816,"04544 Chadd Court","Port Novellaton","HI","34126-5811",151749
1817,"95974 Treutel Skyway","West Rosa","MN","79954",160410
1818,"0899 Sydney Branch","West Neilchester","ME","05673",52436
1819,"621 Bartell Squares","Aryannabury","WI","40535",79306
1820,"936 Freddie Ramp","New Westley","AK","78127-1438",163300
1821,"09669 Claire Pines","New Ernie","VA","91875",28956
1822,"1411 Hermann Corner","West Schuylerville","MS","32725",23032
1823,"462 Beaulah Avenue","Hilmafurt","FL","85359-8108",76142
1824,"159 Hoppe Garden","Prosaccoview","SC","12063",125336
1825,"096 Dibbert Circle","East Vilmaton","NY","71881",116011
1826,"12842 Claire Canyon","Lake Tara","GA","03880-5094",111446
1827,"36839 Kiley Squares","Lake Luis","GA","02574-6699",60360
1828,"81322 Heaney Centers","Port Domenica","DE","99364-5074",71210
1829,"3889 Keaton Club","New Deshawnview","WV","27670-0132",34087
1830,"3699 Jast Trafficway","Christianville","OK","18222-1534",85623
1831,"663 Metz Isle","West Orlo","MA","98489",22571
1832,"5987 Lucas Turnpike","Lake Guschester","ID","83792-8524",101089
1833,"6899 Mustafa Expressway","New Janieton","MS","23704",143518
1834,"4855 O'Keefe Knolls","Schadenborough","MD","20038",44066
1835,"1978 Kunde Pike","Port Santinohaven","AL","91155-2246",151251
1836,"578 Peyton Park","Dorrisbury","MN","52163",77780
1837,"4029 Enos View","Annettaside","MT","06950-3448",53178
1838,"2322 Marisol Wall","Lake Fausto","SD","73189",79846
1839,"067 Erika Corners","Wainomouth","GA","79857",50354
1840,"89087 Runte Expressway","South Oswaldohaven","IA","95687",34978
1841,"811 Predovic Court","East Edborough","IN","93837",157125
1842,"2410 Burnice Shoals","Lake Miltonfort","ID","89057-0706",108630
1843,"43900 Lucio Crossing","Wymanstad","IN","61065",74811
1844,"92837 Will Underpass","Port Paris","SD","73684",119110
1845,"4977 Sauer Square","Eloiseborough","VA","88463-2530",72182
1846,"88802 Hester Grove","New Felixbury","VA","03299",130850
1847,"18904 Joan Pass","Mayertton","HI","18920",47084
1848,"615 Rachel Locks","Reynoldsville","WI","38174-1323",164018
1849,"8162 Gerhold Glen","Tillmanbury","HI","75088",86782
1850,"450 Aiden Landing","South Florencio","OR","25355-6025",116569
1851,"22416 Alexandria Mills","East Ericahaven","WI","40564",175202
1852,"8484 Cale Locks","Port Ivafurt","NM","32295-5416",65342
1853,"891 Lela Extension","North Yazminview","HI","58084-4871",132035
1854,"05918 Hartmann Pine","New Eugenia","UT","59225-6233",64173
1855,"419 Mellie Glen","Lake Lavinaside","DE","97355-6137",20915
1856,"4530 Rogers Trail","North Urielstad","SD","32799",58207
1857,"29114 Okuneva Stravenue","Robelbury","MT","04695-1201",135075
1858,"53657 Kiera Plaza","Federicochester","UT","86510-9726",49220
1859,"9321 O'Connell Fields","Alaynamouth","KS","83971",37468
1860,"5938 Nyasia Crossing","Rutherfordshire","CT","68345",163138
1861,"33980 Jamel Burg","Sengermouth","ME","86681",75883
1862,"63073 Carroll Overpass","Kiaratown","WV","13800-7529",133579
1863,"02871 Emily Ferry","Elverashire","MS","03934-6594",90774
1864,"46006 Dariana Causeway","Barrowsville","NY","98130-6928",160940
1865,"4086 Shields Ways","Jillianstad","TX","38820-8400",97060
1866,"13885 Amelie Mews","West Zeldamouth","VT","26247-0138",178575
1867,"28714 Paucek Forks","Wunschburgh","MD","25090-6191",42022
1868,"6833 Mertz Lake","Kirlinland","MA","89344",81419
1869,"465 Haag Creek","Maryamtown","CT","39912-1554",25178
1870,"648 Cartwright Plains","North Donavonburgh","OR","30654",88428
1871,"393 Zoey Haven","Port Gracielaside","NV","74094-7653",130703
1872,"018 Alta Courts","Hicklestad","WV","86278-8645",126047
1873,"8121 Theron Bridge","North Lionelshire","WY","56234-7700",118426
1874,"52613 Lang Canyon","East Abigayleton","IL","79868-3732",34173
1875,"0293 Alena Center","West Barrymouth","MT","19130-1795",48679
1876,"80156 Reichert Mountains","Phoebeview","DE","86227",76660
1877,"289 Davis Turnpike","New Kasey","HI","53827-4213",172294
1878,"34202 Trevor Parkway","Armstronghaven","CA","97692",176816
1879,"7741 Joel Run","Lefflertown","NV","38007",54206
1880,"66473 Glover Isle","Luettgenberg","MN","02841",138043
1881,"9155 Towne Passage","West Clara","MA","68113",137980
1882,"001 Abshire Estates","Port Damianstad","GA","34287-0052",20691
1883,"0523 Kutch Tunnel","Darrylville","MN","79022",25345
1884,"81963 Sheridan Valley","East Jaiden","AL","82606-3429",97667
1885,"6211 Madaline Ferry","South Carson","IN","35188-3963",22520
1886,"331 Beverly Knolls","West Berrystad","MD","66707-1680",142321
1887,"2306 Mosciski Camp","Whiteland","MS","74609",134223
1888,"8685 Wintheiser Meadows","South Amyborough","IL","65543-2770",53084
1889,"66962 Kuphal Ranch","Kuhnfort","IA","84758",167220
1890,"98189 Stacy Crest","Rodriguezmouth","PA","71744-0383",103985
1891,"09897 Cole Walk","Hortenseshire","NE","40423-0080",45132
1892,"4820 Murazik Loaf","Port Deion","FL","59567",30766
1893,"52143 Botsford Coves","South Anahiview","AR","99272-9144",60492
1894,"08850 Timothy Rue","Lake Emmanuelmouth","KY","35673",95419
1895,"74787 Durgan Mission","New Herminaport","DE","10505-2856",40572
1896,"942 Johnson Inlet","Lake Ezequiel","TX","08395",155100
1897,"360 Bartell Mall","Jamarborough","NV","72496-0930",132976
1898,"5440 Kuvalis Villages","Dareborough","SC","28199",122569
1899,"94960 Pasquale Center","McKenzieton","SD","28595",107037
1900,"5647 Olson Mission","Marksland","SC","02130",56425
1901,"31175 Kevin Street","Dexterburgh","SD","17379",66510
1902,"729 Klein Via","Enriqueberg","WY","46682-1702",127591
1903,"276 Fadel Unions","East Moniqueshire","VA","08717-5155",135383
1904,"3139 Maddison Dam","East Amieshire","AL","84929",143193
1905,"6675 Alberto Harbors","North Claudine","IL","33241-7686",141300
1906,"12690 Geraldine Flat","Bradtkehaven","RI","84649-5545",69901
1907,"76339 Kyra Village","North Thalia","TX","42633",25528
1908,"96584 Skylar Lane","Blandachester","MD","76196",105857
1909,"01494 Yundt Throughway","East Miller","TX","30352-6499",78631
1910,"16587 Nolan Tunnel","Port Flavie","DE","93834",142805
1911,"5142 Tavares Knoll","Ratkestad","TX","52466-2796",55165
1912,"2009 Lowe Camp","Maggioport","SC","36352-3418",134505
1913,"5965 Hagenes River","North Tatumborough","FL","96298",140830
1914,"1887 Alayna Bridge","North Ottiston","IA","23349-4269",108443
1915,"0915 Pauline Mews","New Merlport","NH","14266",134883
1916,"433 Pacocha Mall","Heathcotebury","DE","76279-5638",106279
1917,"371 Bernier Estate","West Hazel","GA","40733",177040
1918,"0872 Kovacek Grove","Port Danielahaven","OK","02348-3385",63904
1919,"25510 Keebler Crossing","North Nels","NE","31243",58512
1920,"73684 Hermann Cliffs","Bechtelarborough","AR","50699",162519
1921,"36613 Nolan Common","Murraytown","IL","00115-8430",41519
1922,"7072 Franecki Branch","Boscofort","NE","66762",32401
1923,"5565 Wyman Isle","Lake Gladyce","DE","42476-3641",176425
1924,"722 Clint Trail","West Mariannemouth","MO","66302-2018",109431
1925,"504 Irwin Walks","Auertown","HI","09692-2635",175738
1926,"809 Norma Brooks","Keeblerfurt","MD","15814-9050",109439
1927,"87860 Monahan Loaf","Dibbertside","VT","49528",50209
1928,"056 Lela Glen","North Tamara","RI","57493-8058",119679
1929,"41989 Abernathy Port","Greenview","NH","28967",141696
1930,"538 Kohler Crossing","Lavonport","OR","52113-2772",59538
1931,"0089 Judge Falls","Javonteland","ND","69343-9849",165268
1932,"5249 Alfred Fords","Andrewburgh","MS","26225",60449
1933,"0343 Candice Drive","Abernathyside","IL","90419",173597
1934,"28919 Karlee Square","South Maia","IA","40444-7480",140027
1935,"41128 Dorothea Streets","Lake Deionhaven","WI","25538",95232
1936,"0898 Anibal Walk","East Vena","CT","46773",102159
1937,"67825 Travon Ford","Port Brendan","NV","22639",76598
1938,"790 Boehm Villages","Lake Jayden","VA","55752-7169",89736
1939,"53148 Reyes Union","Runolfssonfurt","NJ","20922",28534
1940,"93095 Treva Fields","Davionstad","RI","46007",36201
1941,"120 Evans Ridge","Raynorland","VA","60264",137174
1942,"22331 Sincere Island","South Matilda","WI","32399-7039",92532
1943,"127 Vivian Tunnel","Raufurt","CA","58187",167030
1944,"5656 Zaria Drive","South Wilfredo","TN","41910-7318",147254
1945,"05025 Kaitlyn Brook","Port Elza","CO","40682",114169
1946,"545 Sawayn Rest","Electastad","NC","17383-6824",64149
1947,"4087 Romaguera Streets","Sabinaburgh","OH","84710-7332",31322
1948,"14359 Tremblay Estate","Harveyshire","UT","15172-4791",126243
1949,"6362 Jenkins Junction","New Julianshire","RI","59310",32230
1950,"663 Rau Mill","Malikatown","MS","22967-9455",91950
1951,"879 Alexys Plains","Beckerberg","MI","55808-1027",163734
1952,"14223 Hermina Park","Annamaestad","AZ","13499-1344",110203
1953,"1900 Terry Lake","North Jerry","MI","63959",157671
1954,"4880 Easton Divide","Hahnville","VA","50238",169220
1955,"9554 Kuhic Islands","Raynorhaven","AK","61930",93861
1956,"95586 Noah Gardens","Rogeliomouth","ND","48182-8742",79641
1957,"7031 Sanford Hollow","Heaneyfurt","TN","24565",144293
1958,"993 Krystel Harbor","Borermouth","LA","72989",83550
1959,"8010 Filiberto Causeway","Port Tyrel","FL","81811-9330",164677
1960,"2934 Kenyon Valley","Cummeratafort","AK","68166-8852",179000
1961,"429 Bayer Ramp","Cesarchester","IN","87630",156309
1962,"944 Dach Falls","North Treyberg","WA","76759",66376
1963,"237 Jordy Corners","Lake Bethmouth","TX","39753-8584",21943
1964,"35784 Ibrahim Summit","New Estelleside","IN","30062-0315",59297
1965,"2776 Bettye Cape","South Ciceroland","MO","86545",55532
1966,"915 Quitzon Forks","Dawsonville","GA","43017",35216
1967,"97948 Ruecker Knoll","Griffinville","WI","05396-1572",75141
1968,"73855 O'Hara Center","Lake Katelyn","TN","89180-4003",117754
1969,"5637 Zemlak Streets","West Keanu","CT","93137",35664
1970,"3656 Rogahn Pines","East Laylaborough","VT","63260",52990
1971,"41517 Eugene Bridge","Lauriemouth","CT","90616",161595
1972,"093 Erdman Road","Sanfordborough","MO","88686-3763",93087
1973,"1285 Kozey Road","Taylorstad","AZ","77556-6915",99568
1974,"6473 Schuyler Turnpike","Balistreriborough","PA","01581-5373",157405
1975,"694 Madalyn Points","Parkerfort","AR","23015-3877",155111
1976,"441 Ophelia Path","Feilhaven","ME","57819-1396",73763
1977,"744 Weber Walk","O'Connermouth","MI","10805",120492
1978,"277 Beahan Circle","Elwinshire","IN","35577",179660
1979,"36328 Walker Green","Lesterborough","MS","32790",166376
1980,"1846 Dolores Falls","Manteport","WA","36781",64240
1981,"0128 Hauck Turnpike","Schroedertown","OK","34392",37027
1982,"76265 Pfannerstill Drives","Port Maryjaneville","DE","53530-8726",39877
1983,"9835 Stanley Burg","Macejkovichaven","AK","23649-2562",69880
1984,"01934 Strosin Keys","Laurynmouth","MS","19599-4234",107683
1985,"934 Zieme Ranch","South Michel","WV","77941-7867",21026
1986,"1573 Murray Port","Apriltown","MD","33446-6743",28855
1987,"29500 Kertzmann Junction","South Gladysstad","OH","24905-0417",80890
1988,"836 Crystal Harbor","Hansborough","WV","16191",156974
1989,"36665 Brekke Road","Haagborough","MS","07090",121215
1990,"284 Reginald Avenue","Bernhardchester","ND","28174-5521",81417
1991,"4431 Lockman Rest","North Busterview","HI","27738-1747",78601
1992,"82904 Colin Corner","North Hallie","WY","45996",84548
1993,"430 Gislason Highway","East Tonymouth","AR","91841-2307",75847
1994,"8037 Sierra Via","West Rocio","TX","65374",27207
1995,"685 Randi Trace","East Scot","CO","50762-0586",100970
1996,"265 Jo Trail","Rylanbury","MS","38051",35950
1997,"0961 Goldner Mount","New Sonya","IL","59452",161469
1998,"06429 Kuvalis Common","Lindgrenmouth","MN","83505",142564
1999,"7274 Kip Ramp","Nelsmouth","MN","37595",33987
2000,"3468 Kaden Ports","East Lamontbury","DE","27209-4749",156008
